paper_id,authors,year,title,source,relevance_score
41693756,de Oliveira 2026,2026,Importance of conditioning in latent diffusion models for image generation and super-resolution.,PubMed,1.0
41693670,Kartal 2026,2026,Letter to the Editor: Comment on the diagnostic sensitivity of ChatGPT for detecting hemorrhages in cranial computed tomography scans.,PubMed,1.0
41693669,Kapıcı 2026,2026,Reply: Comment on the diagnostic sensitivity of ChatGPT for detecting hemorrhages in cranial computed tomography scans.,PubMed,1.0
41693651,Çamur 2026,2026,Prospective quantitative analysis of hyperparameter and input optimization in GPT-5: comparative contribution to radiologist performance in abdominal radiology.,PubMed,1.0
41691948,Moreno 2026,2026,Which bot is best? Accuracy and readability of generative artificial intelligence assistant responses on adrenal nodules.,PubMed,1.0
41691242,Bardakci 2026,2026,AI-based decision support in pediatric dentistry: a comparative study of ChatGPT-5 and gemini advanced.,PubMed,1.0
41691106,Alkabazi 2026,2026,Comparative performance of AI models on case-based oral medicine questions across Bloom's taxonomy levels and subtopics.,PubMed,1.0
41689670,Uchida 2026,2026,Preoperative embolization of feeding arteries in glioblastoma: Technical strategies and clinical utility.,PubMed,1.0
41689094,Liu 2026,2026,"A fine-tuned large language model chatbot for multi-scenario radiology cancer care: randomized controlled trial on interaction optimization, emotional support, and provider burnout reduction.",PubMed,1.0
41687698,Xia 2026,2026,Cognitive and neural mechanisms of improving informal reasoning in human-GenAI interactive learning contexts: An fNIRS study.,PubMed,1.0
41687565,Koga 2026,2026,Comment on 'Limited performance of ChatGPT-4v and ChatGPT-4o in image-based core radiology cases'.,PubMed,1.0
41687564,Sun 2026,2026,"Comment on ""Limited performance of ChatGPT-4v and ChatGPT-4o in image-based core radiology cases"".",PubMed,1.0
41686277,Liu 2026,2026,A SEER derived prognostic nomogram identifies stage IV metastatic lung squamous cell carcinoma patients who may benefit from primary tumor resection.,PubMed,1.0
41684376,van der Loo 2026,2026,Large language models for structured cardiovascular data extraction: a foundation for scalable research and clinical applications.,PubMed,1.0
41683551,Motente 2026,2026,"Synthesis, Characterization, Molecular Docking, and Preliminary Biological Evaluation of 2-((4-Morpholino-1,2,5-thiadiazol-3-yl)oxy)benzaldehyde.",PubMed,1.0
41682501,Kim 2026,2026,Assessment of Biophilic Design in Educational Corridors and Stairwells Using fNIRS and GSR with Generative AI Stimuli.,PubMed,1.0
41681922,Pergialiotis 2026,2026,Discrepancies Between MDT Recommendations and AI-Generated Decisions in Gynecologic Oncology: A Retrospective Comparative Cohort Study.,PubMed,1.0
41681804,Ozkan 2026,2026,Atlas-Assisted Bone Age Estimation from Hand-Wrist Radiographs Using Multimodal Large Language Models: A Comparative Study.,PubMed,1.0
41681794,Erginoğlu 2026,2026,Multimodal Large Language Model for Fracture Detection in Emergency Orthopedic Trauma: A Diagnostic Accuracy Study.,PubMed,1.0
41681714,Obuchowicz 2026,2026,Will AI Replace Physicians in the Near Future? AI Adoption Barriers in Medicine.,PubMed,1.0
41681706,Asiri 2026,2026,"A Comparative Assessment of ChatGPT, Gemini, and DeepSeek Accuracy: Examining Visual Medical Assessment in Internal Medicine Cases with and Without Clinical Context.",PubMed,1.0
41680573,Komenda 2026,2026,Development and Evaluation of a Retrieval-Augmented Generation System for Radiology Guidelines.,PubMed,1.0
41677855,Proff 2026,2026,Simplifying radiology reports with large language models: privacy-compliant open- versus closed-weight models.,PubMed,1.0
41675260,Khovanova 2025,2025,"A comparative accuracy study of multimodal LLMs, VLM and agent-based framework for pulmonary nodule detection on chest radiographs.",PubMed,1.0
41673361,Lambert 2026,2026,Standing the test of time: diagnostic accuracy of the Edmonton Symptom Assessment System-Revised (ESAS-r) for anxiety and depression screening.,PubMed,1.0
41673069,Aravinda 2026,2026,Quantum-enhanced multimodal prognostic transformer for skin disease progression prediction and visualization.,PubMed,1.0
41669453,Ji 2026,2026,Comparison of online radiologists and large language model chatbots in responding to common radiology-related questions in Chinese: a cross-sectional comparative analysis.,PubMed,1.0
41669269,Khan 2026,2026,Diagnostically competitive performance of a physiology-informed generative multi-task network for contrast-free CT perfusion.,PubMed,1.0
41668049,Nixon 2026,2026,Automated deep learning pipeline for measuring lumbar thecal sac AP diameter on mid-sagittal MR images.,PubMed,1.0
41667933,Qiu 2026,2026,[The application of large language models in the diagnosis of clinically significant prostate cancer].,PubMed,1.0
41667642,Sheng 2026,2026,Multimodal large language models challenge NEJM image challenge.,PubMed,1.0
41665701,Schneider 2026,2026,"Meniscus and ligament injuries associated with tibial plateau fractures cannot be predicted from CT scans, even with high surgical experience.",PubMed,1.0
41664164,Hamamoto 2026,2026,"Implementing generative artificial intelligence in precision oncology: safety, governance, and significance.",PubMed,1.0
41663871,Vaccaro 2026,2026,"Deep learning for synthetic PET imaging: a systematic mapping review of techniques, metrics, and clinical relevance.",PubMed,1.0
41661435,Beddok 2026,2026,PET Imaging in Head and Neck Squamous Cell Carcinoma: from Staging to Response Assessment.,PubMed,1.0
41661201,Chaudhuri 2026,2026,Benchmarking Large Language Models Using a Best Evidence Topic Report in a Patient With Early Non-Small Cell Lung Cancer.,PubMed,1.0
41661173,Russe 2026,2026,AI-RADS: A Framework for Assessment of Artificial Intelligence Output in Radiology-Development and Multireader Evaluation.,PubMed,1.0
41660542,Obana 2026,2026,Bot vs. doc-who is better at reading proximal humerus fracture x-rays?,PubMed,1.0
41658402,Moglia 2026,2026,MiniGPT-Pancreas: Multimodal Large Language Model for Pancreas Cancer Observation and Localization in CT Images.,PubMed,1.0
41657069,Xu 2026,2026,Pulmonary sclerosing pneumocytoma with lymph node metastasis and high <sup>18</sup>FDG uptake in PET/CT: a rare case report and literature review.,PubMed,1.0
41655402,Khurshid 2026,2026,Dual Framework for Classification and Detection of Third Molar Impaction in Panoramic Radiographs.,PubMed,1.0
41654892,Zheng 2026,2026,Multi-omics dynamic profiling reveals predictive biomarkers for first-line immunochemotherapy in extensive-stage small-cell lung cancer.,PubMed,1.0
41654857,Forte 2026,2026,Drusen-specific dark adaptation profiles in intermediate age-related macular degeneration.,PubMed,1.0
41653400,Porcu 2026,2026,Global white matter microstructure changes induced by repetitive transcranial magnetic stimulation in cocaine use disorder: a longitudinal correlational tractography study.,PubMed,1.0
41652399,Kavadella 2026,2026,"Dental students' knowledge, perceptions, and educational needs regarding artificial intelligence: a multinational cross-sectional survey.",PubMed,1.0
41652293,Husarek 2026,2026,Artificial intelligence for fracture detection on computed tomography: a comprehensive systematic review and meta-analysis of diagnostic test accuracy in non-commercial and commercial solutions.,PubMed,1.0
41650460,Warrier 2026,2026,Comparative diagnostic capability of large language models in neurosurgery.,PubMed,1.0
41650069,Alalawi 2026,2026,Evaluating the role of ChatGPT in structured radiology reporting: A systematic review.,PubMed,1.0
41647521,Azhar 2026,2026,Semiautomated breast ultrasound report generation using multimodal large language models and deep learning.,PubMed,1.0
41647220,Khan 2026,2026,Diagnostically Competitive Performance of a Physiology-Informed Generative Multi-Task Network for Contrast-Free CT Perfusion.,PubMed,1.0
41646749,Akbasli 2026,2026,Hybrid rule-based and on-premises LLM pipeline for extracting CMR and CPET metrics from free-text reports in repaired tetralogy of Fallot.,PubMed,1.0
41645441,Elkersh 2026,2026,AI-Generated MCQs for Pre-Doctoral Oral and Maxillofacial Radiology: Acceptable Efficiency With Cognitive-Level Limitations.,PubMed,1.0
41645236,Gao 2026,2026,Quantitative evaluation of computational fluid dynamics application development in the cardiovascular field through literature retrieval and bibliometric analysis.,PubMed,1.0
41645118,Ciflik 2026,2026,Evaluation of multimodal large language models for pneumothorax assessment in real-world clinical scenarios.,PubMed,1.0
41645091,Qiao 2026,2026,Mechanical cardiopulmonary resuscitation in adult cardiac arrest: setting-specific associations and mediation through resuscitation process quality.,PubMed,1.0
